sun|太阳
sinic|(=Chinese) adj.中国的
southerners|南方人, 居住在南方的人( southerner的复数形式 )
saccharamide|糖二酰胺
summerhouses|凉亭( summerhouse的名词复数 )
stereotropic|[医] 向异体的, 向实体的
symbolistic|象征主义的, 象征性的
spanning|[计] 生成
spectrograms|(spectrogram 的复数) n. 光谱图, 声谱图
sadducee|(古代犹太教)撒都该教派
struthio|[医]驼鸟
skatole|[化]粪臭素
substations|变电站, 变电所( substation的名词复数 )
spheroidic|类似球体的
sergeantship|军士之地位,职权或阶级
shrieked|尖叫( shriek的过去式和过去分词 )
sideswiped|擦边撞击( sideswipe的过去式和过去分词 )
squally|多飑的, 多风波的
subtribal|[网络] 子的
silvics|森林生态学
salchow|(花样滑冰中的)后内结环一周跳
sadi|即 Saadi
sputterer|气急败坏说话的人, 语无伦次的人, 发劈啪声的东西
subways|地下人行道( subway的复数形式 ); <美>地铁
seducers|(seducer 的复数) n. 诱惑者, 骗子, 玩弄女性的人
stridulatory|尖声鸣叫的
subgerminal|[医] 胚下的
skittles|九柱戏, 撞柱戏
selenodesy|[天]月面测量学
sitosterin|[化] 谷甾醇
scientize|使科学化,用科学方法处理, 按科学原理组织
spores|（细菌、苔藓、蕨类植物）孢子( spore的复数形式 )
showboater|[美国英语]；演戏船经理(或演员)
stearyl|[化] 硬脂酰; 十八烷酰
slumbering|微睡, 睡眠（slumber的现在分词形式）
sphyraena|[网络] 梭鱼属；魣属；金梭鱼属
syncopates|（音乐的）切分( syncopate的第三人称单数 ); 词中省略, 中略
shimmied|摇动, 震颤, 晃动( shimmy的过去式和过去分词 )
skitty|向尾喵
spunge|,v.<古>=sponge
severability|可分割性
stephanial|[医] 冠状点的
storekeeper|店主
sinister|不吉利的, 凶恶的, 左边的
scarface|疤面煞星（电影名）；疤面人（法国球员里贝里的昵称）
serow|[动]鬣羚
salicine|柳树的
segregating|（使）分开( segregate的现在分词 ); 分离; 隔离; 隔离并区别对待（不同种族、宗教或性别的人）
steelmaking|炼钢
septation|[植]分隔(作用)
skinnier|极瘦的
saburral|[医] 口垢的, 口臭的
skyscrape|建造摩天楼
shingly|小石子多的
suramin|[药]苏拉明,苏拉灭(一种抗锥虫及丝虫药)
skyjack|空中劫持
sooterkin|[古语] 胎盘；流产的计划(或事情)；不完美的文学作品
salience|显著, 卓越, 突出, 突起, 特征
salvoes|（炮火）齐射, （礼炮）齐鸣( salvo的复数形式 ); （掌声、欢呼声）一阵
supplicate|恳求, 哀求, 恳请
serener|serene（沉静的, 宁静的, 安宁的）的比较级形式
smithite|[矿]斜硫砷银矿
sawmills|锯木厂( sawmill的复数形式 )
sustainedly|持续地
sexing|雌雄鉴别（动词sex的ing形式）
stacey|史黛丝（女子名）
sycamores|西克莫槭( sycamore的复数形式 ); <美>悬铃木（指树及木头）, 西克莫无花果
scorbutus|下流的, 卑鄙的, 无礼的
spug|<英方>[鸟]家麻雀
stupidly|愚蠢地
sixtyfold|六十倍的, 成六十倍的
scrapbooks|（粘贴相片、剪报等的）剪贴簿( scrapbook的复数形式 )
swindles|诈骗, 骗取( swindle的名词复数 )
solidaristic|solidarist的变形
squashier|熟透的；柔软的；容易压坏的；又湿又软的 (squashy的变形)
spiritualism|唯灵论
stockcar|运牲口的火车车辆, 常备的普通式样汽车, 比赛用汽车
sawbills|(sawbill 的复数)  齿喙鸟
shovelnose|鲸鲛
stemmer|抽梗机, 去梗机, 抽梗工人, 炮棍, 导火线留孔针, 塞药棒, (非正式)乞丐
steers|阉公牛, 肉用公牛( steer的名词复数 )
springless|无弹性的, 无弹簧的
splurging|乱花（钱）, 糟蹋（钱）, 挥霍( splurge的现在分词 )
spatchcock|杀后立刻烹调的家禽
stempost|艏柱
superflexion|[医] 屈曲过度
subarachnoid|[医] 蛛网膜下的
spuddle|轻挖, 翻掘
sling|投石器, 抛掷, 吊索, 吊钩
splittings|(splitting 的复数) a. 爆裂似的, 极快的
strolls|溜达, 散步, 闲逛( stroll的名词复数 )
strident|刺耳的, 吱吱尖叫的, 尖锐的, 刺眼的
stumer|伪造的支票, 赝品, 不中用的东西, 愚蠢可笑的错误
saddleback|鞍状峰, 鞍形屋顶, 鞍背鸟
submits|顺从( submit的第三人称单数 ); 听从; 屈服; 甘受
sourly|性情乖僻地, 阴郁地, 坏心眼地
silicifying|使硅酸化
shorewards|向海岸
slither|不稳地滑动
sporocyst|[植]孢子被
sidestroke|侧泳
salting|经常为潮水淹没的土地
snowmaking|人工造雪
smarms|(smarm 的第三人称 -s形式) vt. 使(头发)平滑, 阿谀, 说奉承话
serialists|(serialist 的复数) 序列音乐作曲家
seignior|庄园主, 领主, 先生
syncretical|[网络] 融合的
septectomy|[医] 鼻中隔切除术
superheater|过热器
sommeliers|(sommelier 的复数) n. 斟酒服务员
sawhorse|锯木架
skimpy|不足的, 吝啬的
skilful|灵巧的, 熟练的, 制作精巧的
siganidae|蓝子鱼科
sociosexual|社会群体内性关系的
scleroblast|[动]骨针细胞
saka|萨卡人
spitted|吐出（spit的过去式和过去分词形式）
succus|液, 汁
sauropsida|[医] 蜥形类(包括爬行类和鸟类)
sporophoric|sporophore的变形
squilla|虾蛄
shrugging|耸肩, 耸肩表示
smoothens|使平滑, 使平和；使平息
sinistrin|[化] 海葱糖
squiress|乡绅之妻,(特定地区内)最大的地主之妻
sniffing|[计] 测错
snippety|由片断组成的, 零碎的
scherm|<南非>(用树枝、粗帆布、兽皮等搭成的)棚屋,蔽护所
salvageable|可抢救的；可打捞的；可挽回的；能利用的
serpiginous|匐行的
slitless|slit的变形
synclinorium|复向斜
smily|[人名] 斯迈利
stupendously|惊人地, 巨大地
subahdar|[印]印度军队中的尉官
stalin|斯大林（前苏联领导人）
sorrowing|悲伤；懊悔；伤心事
springtide|大潮, (喻)高潮, 春天, 春季, 青春, 青春期, 发展的早期, 全盛期
spinoff|[经] 副产品
schooldays|(schoolday 的复数) n. 教学日；学生时代
scarier|吓人的（scary的比较级）
shinnied|击球, 攀爬( shinny的过去式 )
surtaxed|（对高收入所收取的）附加税( surtax的过去式和过去分词 )
soucar|(印度的)银行家,放债人
stoneweed|紫草
squadroned|空军中队；一群；骑兵中队；分遣队；小舰队
stowaway|偷渡者, 匿身处
stamineous|雄蕊状的
sects|教派；氏族与党派（sect的复数形式）
sunbow|虹
sulphitation|亚硫酸处理; 亚硫酸化(作用)
spurns|一脚踢开, 拒绝接受( spurn的第三人称单数 )
sauceboat|船形调味汁碟
sparkler|钻石, 花炮, 烟火, 才华焕发的人
solderer|焊工
sandblasted|(sandblast 的过去分词) n. 喷砂, 喷砂器
squads|（军队中的）班( squad的复数形式 ); （暗杀）小组; 体育运动的运动（代表）队; （对付某类犯罪活动的）警察队伍
snowier|多雪的( snowy的比较级 ); 下雪的; 雪白的; 纯白的
syriac|叙利亚的
sabelli|[人名] 萨贝利
sunil|苏尼尔（男子名）
snuffboxes|(snuffbox 的复数) n. 鼻烟盒
summations|总和( summation的复数形式 ); 加在一起; 总结; 概括
subparameter|[计] 子参数
splenoma|[医] 脾瘤
stepladder|活梯
supermaxilla|[解]上颌骨
starving|挨饿的；饥饿的
sequacity|sequacious的变形
sacks|麻布袋
suntan|晒黑, 土黄色军服
sniffishness|sniffish的变形
substore|辅助仓库; 备用仓库
shrouded|隐瞒( shroud的过去式和过去分词 ); 保密
sapsucker|吸汁啄木鸟
smidgens|<美口>少量, 一点点( smidgen的名词复数 )
subdelirium|轻谵妄
sylleptical|一笔双叙法的, 兼用法的
spools|（绕线、铁线、照相软片等的）管( spool的名词复数 ); 络纱; 纺纱机; 绕圈轴工人
swallowling|雏燕
scuds|（尤指船、舰或云彩）笔直、高速而平稳地移动( scud的第三人称单数 )
synchronical|仅描写某一特写时期的, 共时的
synapsing|(synapse 的现在分词) n. (神经)突触, 神经键
sensed|了解（sense的过去式）；感觉
serozyme|[化] 凝血酶原
simplifying|使（某事物）简单[简明], 简化( simplify的现在分词 ); 单纯化
sergio|塞尔吉奥（NBA球员）
shunning|避开, 回避, 避免( shun的现在分词 )
somersaults|翻筋斗( somersault的名词复数 )
shog|针床横移
sangers|(Sanger 的复数) 桑格(①姓氏 ②Frederick, 1918-, 美国生物化学家, 曾获 1958年诺贝尔化学奖)
semiaquatic|半水生的
striatum|[医] 纹状体
stola|古罗马妇女的外套
shrimpy|多虾的；矮小的
syphoned|用虹吸管吸上来( syphon的过去式和过去分词 ); 通过虹吸管吸
slowpokes|行动迟缓的人；慢动作的人；迟钝的人
supraspinous|[医] 棘上的, 棘突上的
stomate|[生]有小孔的, 有叶孔的, 有气孔的
silicas|[医] 硅酸盐
selle|[医]卖方
sterilely|sterile的变形
superseptal|[医] 隔上的
sockdolager|决定性的打击, 杰出的人
specialness|特殊, 专门
shadowland|虚幻境界
shipmate|同船水手
soapily|沾满肥皂地
semifinals|半决赛
suprapubic|[医] 耻骨弓上的
sciatic|髋部的, 坐骨的, 坐骨神经的
soh|[计] 标头开始符
scabrities|[医] 粗糙
surrejoin|第二次辩驳被告
stratiformis|[气](云)成层状的
statured|[尤用于复合词]身高的；高度的；水平的, 程度的
stunts|惊人的表演( stunt的名词复数 ); （广告中）引人注目的花招; 愚蠢行为; 危险举动
silverer|镀银的人[设备]
stater|(古希腊)金币
skydivers|做空中造型动作的跳伞运动员( skydiver的复数形式 )
schisandra|五味子属
slightingly|轻视地, 疏忽地
skeet|双向飞碟
sphene|[矿]榍石
shipwrecking|海难；遇难船
summation|总和, 和, 合计
smudgiest|脏污的, 满是污垢的( smudgy的最高级 )
shoppy|生意上的, 多商店的
streaminess|streamy的变形
sharked|骗取（shark的过去式与过去分词形式）
spumescent|起泡沫的, 泡沫状的
scoria|铁渣, 矿渣, 火山渣
superelevate|使(弯道)的外侧超高
sabring|军刀；马刀；击剑或决斗用的长剑
shanghaied|[电影]拐骗
sacculus|小囊,(尤指内耳迷路的)球囊
schanz|<南非>小堡垒,小街垒
spinstress|[律]未婚妇女, 老处女
splashdown|在海中溅落
straitlaced|严格的, 刻板的, 固执的
syllabled|有…音节的
stuccowork|毛粉饰, 拉毛粉饰
stipple|点刻法, 点画, 点彩
sarcasm|挖苦, 讽刺, 讽刺话, 讽刺性
sots|苏刺艺术(一种持不同政见的讽刺社会主义现实主义风格的苏维埃艺术形式)
secularly|世俗地
slendang|(=slendong)棉披巾, 棉围巾
stereotape|立体声磁带
sallee|<澳>金合欢属植物[土著语]
sugarer|工作偷懒的人
submundane|地下的,地面下的
susurrated|沙沙响；低语
softhead|无主见的人
skywrote|用飞机喷出的烟写字, 大肆宣扬( skywrite的过去式 )
shoos|用“嘘”声赶走, 吓走( shoo的第三人称单数 )
scurviness|粗鄙, 恶劣, 无礼
sesquialter|一倍半
syllabize|[语]分成各个音节
southernness|[网络] 南方
submolecule|链段, 亚分子
squishier|<美俚>湿软的, 粘糊糊的, 易压扁的( squishy的比较级 )
steamfitter|na. 汽管装配工人
skyscrapers|摩天大楼( skyscraper的复数形式 ); 层楼高耸; 广厦高楼
spender|挥霍者, 挥金如土的人
straggler|游荡者, 朱经请假擅离船舰的人员, 掉队者
skyhooks|(skyhook 的第三人称 -s形式) n. 扁平空投器
slackens|（使）松弛( slacken的第三人称单数 ); （使某物）放慢; 松懈下来; 变迟缓
setal|[医]刚毛的
surer|确信的；可靠的；必定的 (sure的变形)
semisecret|半秘密的
splurge|炫耀, 夸示
siting|建设地点的决定, 道路定线
shandygaff|<美>=shandy
spondylosis|椎关节强硬
sandpile|沙堆
sneezed|打喷嚏( sneeze的过去式和过去分词 )
subnormality|[医] 低常状态
semiglaze|半釉
swizzle|碎冰鸡尾酒
superclass|总纲
slee|业务逻辑执行环境（Service Logic Execution Environment）
stoneboat|平底橇
sonogram|语图
saucing|调味或加沙司于…（sauce的现在分词形式）
spellbinds|用符咒迷惑, 迷住, 使入迷（spellbind的第三人称单数形式）
strigilation|刮身板(或刮擦器)的刮擦
supereminent|卓越的, 极为出色的
sultone|磺内酯, (专指)萘-1,8-磺酸内酯
spado|无生育能力的人
smartens|使（更）漂亮( smarten的第三人称单数 ); 使（更）聪明; 变得（更）漂亮; 变得（更）聪明
spinebill|刺嘴吸蜜鸟
shorty|矮个子, 特别短的东西
sertularian|& adj.[动]桧叶螅(的)
scrums|混战, 争夺( scrum的复数形式 )
silvicolous|居住于森林中的
shunts|把（铁路货车等）调到另一轨道上, 使转轨( shunt的第三人称单数 )
syringotomy|[医] 瘘管切开术
sapindaceae|[医] 无患子科
scalma|[医] 马感冒病
sitrep|军情报告
swerve|转向, 弯曲, 背离
stollen|果子甜面包
squeezer|压榨者, 剥夺者, 敲诈者, 压榨机, 轧水机, (美)(非正式)小气鬼, 吝啬者
speechful|话多的, 健谈的
superego|超自我
spryness|spry的变形
squamosal|鳞状骨
sheathbill|鞘嘴鸥
soaring|高飞的, 翱翔的, 高耸入云的, 崇高的, 高涨的
semimat|半无光的
shamefully|不体面地；可耻地
scatting|迅速走开( scat的现在分词 ); 乱喊乱叫; 无意义地乱唱; 嘘叫着赶
striation|条纹, 条纹状
stintedness|节约；定额, 定量 (stint的变形)
screed|冗长的文章, (瓦工用的)抹灰靠尺
syncategorem|[网络] 同义词
sandboard|挡沙板
slinkier|偷偷摸摸的, 体态富于曲线的( slinky的比较级 )
sneaks|sneakers (tennis shoes) 胶底运动鞋（网球鞋）
sheepberry|荚迷
stitchwork|刺绣, 缝纫
saharan|撒哈拉沙漠之人
swanks|<英, 非正, 贬>炫耀, 卖弄( swank的第三人称单数 )
satieties|(satiety 的复数) n. 满足, 饱食, 厌腻
squamulate|[植]有小鳞片的, 多小鳞片的
scourges|带来灾难的人或东西, 祸害( scourge的名词复数 ); 鞭子
spencers|斯潘塞(男子名)
sexualize|使有性别, 使有性特征
silkscreens|(silkscreen 的复数) n.丝网印刷,丝网印刷品
sterileness|[网络] 消毒
shrimpers|(shrimper 的复数)  捕虾者[器]
scourage|洗余水, 洗剩液
sideswipes|擦边撞击( sideswipe的名词复数 )
screenful|整个萤幕的
soother|抚慰者, 橡皮奶头
spurting|喷射状
silicule|[植]短角果
skidoos|(skidoo 的第三人称 -s形式) vi. 出去, 走开
schoolgirl|女学生
sniffly|[网络] 抽鼻子的
selvedge|织边, 镶边
sweltered|热得难受( swelter的过去式和过去分词 )
scopulas|毛丛
sentience|有感觉性, 有知觉
seditionary|骚乱煽动的
scrimmaged|混战, 并列争球( scrimmage的过去式和过去分词 )
snippers|[复] n.手剪(一种剪刀)
sclerotium|[植]菌核
subverter|颠覆者, 破坏者
sightseer|观光客
subungulate|次有蹄类的
sabadinine|沙巴碱, 赛藜芦碱
superciliary|眼睛上方的, 眼睑上的, 眉毛的
sabzi|[印]大麻叶, 大麻果
sautes|炒；嫩煎
saloons|大厅( saloon的复数形式 ); 酒吧间; 轿车; 有某用途的公共大厅或建筑物
skips|跳( skip的第三人称单数 ); 跳绳; 悄悄溜走; 快速转移
spurry|[植]大竹草
slaps|拍打声, 类似拍打的声音( slap的名词复数 )
staghorn|鹿角, 石松, 大珊瑚
seaminess|裂纹现象
slummer|住在贫民区的人, 出入贫民区工作的人
seybertite|[矿]绿脆云母, 多色脆云母
sigmund|西格蒙德（男子名）
stertorous|打鼾的
synizesis|[语]元音缩[溶]合(两相邻元音缩合成一音节, 但不构成双元音)
switcher|交换机；转换开关；调车机车
stillicide|滴液, 慢滴
stepchildren|丈夫与其前妻或妻子与其前夫所生的孩子( stepchild的名词复数 )
statehouses|州议会的议场( statehouse的名词复数 )
swith|即刻, 快速地
sundering|<文>隔开, 分开( sunder的现在分词 )
superiorly|卓越地, 超越其他地
sputum|唾液, 痰
spheroplast|[生](原生质)球形体,原生质球, 去壁细菌细胞
sectarianism|宗派主义；教派意识
syphons|[医]弯管
splanchnic|内脏的
suspensive|未决定的, 可疑的, 暧昧的, 暂停的, 悬而不决的
shrimplike|shrimp的变形
saris|莎丽( sari的复数形式 )
solipsistic|[医] 唯我论的
swamps|沼泽（地）( swamp的名词复数 )
shutterless|shutter的变形
steeples|（教堂的）尖塔( steeple的复数形式 )
santalales|[网络] 檀香目
shadowily|shadowy的变形
shields|盾, 防卫物（shield的复数形式）
storytellers|讲故事的人, 说书人( storyteller的复数形式 )
spruces|针枞, 云杉( spruce的名词复数 )
salinometer|盐液密度计
stockinger|袜子；长统(女)袜；袜子似的东西
samsonite|[矿]硫锑锰银矿
stockers|(stocker 的复数) n. 碎料工, 装料工, 储料器, 堆料机, 加煤机
sextodecimos|十六开本；十六开纸 (sextodecimo的变形)
sadduceeism|撒都该教, 撒都该教派之教义(=skepticism)
stammrel|& n.<苏格兰> = staumrel
stying|关入猪栏
sugarcoating|裹以糖衣；粉饰, 使有吸引力
simarouba|[网络] 苦木皮
spermatozoid|[植]游动精子
sportswomen|女运动家( sportswoman的复数形式 )
subauricular|[解]耳廓下的
satins|(satin 的复数) n. 缎子
smarmy|虚情假意的, 爱说奉承话的
spilikin|做游戏用的小木块
stockier|（指人、动物、植物）粗短而结实的, 矮而粗壮的( stocky的比较级 )
selenicereus|[网络] 蛇鞭柱属；仙人柱属；蛇鞭柱属植物
sfz|sforzando (Italian=emphasized chord or note) （意大利语）重音或音符
septarian|凝岩球的
siam|暹罗
snifting|吸入空气
sidehill|山坡, 山侧
sheiks|(sheik 的复数) n. 酋长, 王子, 村长, 族长, 教长, 导师, 有威信的丈夫
slovenly|邋遢的, 不修边幅的, 不整洁的, 懒散的, 潦草的, 马虎的
squaw|女人, 妻子
shwa|中性元音的名称
sepsis|脓毒病
subtree|[计] 子树
sissies|胆小鬼, 女人气的男人, 胆小无用的男子( sissy的复数形式 )
soulful|充满精神的, 感情上的, 高尚的
stickling|坚持己见( stickle的现在分词 )
solferino|品红
satinflower|高代花属的植物或花
slowpoke|行动迟缓的人
stinter|节约；定额, 定量 (stint的变形)
sheriffalty|州长的任职期
shmaltz|极端流于感伤的音乐, 伤感主义
sialology|[医] 涎学, 唾液学
shirting|衬衫衣料
sprew|[医] 口炎性腹泻; 铸道(牙)
shackles|手铐, 脚镣；塞古
sniffishly|sniffish的变形
specialising|专门从事, 专攻( specialise的现在分词 )
slickly|平滑地；灵巧地；熟练地
stockfish|淡鳕鱼干
stints|定额工作( stint的名词复数 ); 定量; 限额; 慷慨地做某事
sulla|[植]冠状岩黄芪
stimies|妨碍球( stimy的名词复数 )
swooningly|swoon的变形
sweeties|[英口]糖果；甜食
swamping|沼泽化
slopes|斜坡( slope的名词复数 ); 斜面; 倾斜; 山坡
sublimities|崇高, 庄严, 气质高尚( sublimity的名词复数 )
stipuled|【植物学】托叶
scrog|矮树
selfward|向自己的, 朝着自己的
soppiest|<非正>一味情意缠绵的, 感情过于丰富的, 多愁善感的( soppy的最高级 )
stiffener|使坚硬的人, 加固物, 加强板, 支肋, 强壮剂, 兴奋剂
sequency|[计] 序数
supernova|超新星
scrambling|混乱；不规则性；攀登；加扰
syndactylous|并指的, 并趾的
supraglacial|冰上的
subduedly|subdued的变形
synfuel|合成燃料
synodical|会议的, 讨论会的
seduced|诱奸( seduce的过去式和过去分词 ); 勾引; 诱使堕落; 使入迷
spikiest|spiky（易怒的）的最高级
schlep|拖曳, 缓慢费力地行进
selfness|自私, 人格, 个性
shoji|障子（本房屋用的纸糊木框, 等于shoji screen）
skiddoo|走开, 跑开
surreal|超现实主义的；离奇的；不真实的
sheargrass|(有锋利叶边的)剪刀草
scurvily|粗鄙地, 下流地, 无礼地
speechifying|演说, 演说似地说个不完( speechify的现在分词 )
sumless|无数的, 无数量的
seedman|播种者, 卖种子的店铺
surfacing|铺面, 铺面材料
suppressors|(suppressor 的复数) n. 抑制器, 消除器, 抑制栅极
sweatiness|发汗, 出汗, 汗流夹背
sulphuring|亚硫酸处理(果汁、果浆、水果), 用二氧化硫保藏
stent|[医] 斯滕特氏印模膏; 斯滕特氏印模; 移植片固定模
scatologic|[医] 粪便[学]的
sinh|hyperbolic sine 正弦双曲线
schoolhouses|（尤指乡村学校的）校舍( schoolhouse的复数形式 )
sequitur|(根据前提得出的)推断, 推理, 结论
spied|看见, 发现（ spy的过去式和过去分词 ）; 当间谍; 从事间谍活动; 搜集情报
schillerize|使( 晶体) 具有青铜光泽
schungite|[地质]次石墨
sinarquist|辛那其主义分子
shough|卷毛小叭儿狗
shunpiking|<美>(为避免高速公路收费或拥挤的) 走支路驾车行驶
sporades|斯波拉提群岛[希腊]
serger|拷边机
stressors|(stressor 的复数) [医] 紧张性刺激; 应激物
splenography|[医] 脾X线照相术; 脾脏论
spins|旋转；暴跌；尖硬纤维（spin的复数）
synocha|[医] 嵇留热
sparid|鲷
sulfas|<药>磺胺制剂( sulfa的名词复数 )
synclinal|向斜的
spiroscope|呼吸量测定器
stewing|[机] 保温净化, 焖热, 烧透, 均热
symbiontic|[医] 共生的
stowed|装( stow的过去式和过去分词 ); 装载; 无票偷乘（交通工具, 尤指船或飞机）; 将某物收好（或保存好）
synoviparous|[医] 产生滑液的
spiraled|盘旋上升（或下降）( spiral的过去式和过去分词 )；（物价等）不断急剧地上升（或下降）
soldiership|军人职务, 军事手腕
swindled|诈骗, 骗取钱财( swindle的过去式和过去分词 )
slurps|啧啧吃的声音( slurp的名词复数 )
stereochrome|固色壁画
syphering|sypher的变形
salpae|樽海鞘（等于salp） (salpa的变形)
shearhog|<英方>第一次剪毛后的羊
staggery|摇晃的, 蹒跚的
snooped|探听, 窥探, 管闲事( snoop的过去式和过去分词 )
slamming|[船舶]砰击
soloed|独奏, 独唱, 单独表演
steeling|包钢；用钢作刀口
subrace|亚种族
spirogyra|水绵
scaridae|鹦嘴鱼科
stretchers|担架( stretcher的复数形式 )
speechify|演说, 滔滔不绝地讲个不完
selectee|征召员
sedative|使安静的, 使镇静的
spicing|[医] 香料调味, 加香料
sardana|萨达纳舞(西班牙加泰隆尼亚的一种民间舞蹈)
serranus|[网络] 鮨属；鮨形朴丽鱼
swooshing|哗哗响, 作嗖嗖声, 嗖地发射( swoosh的现在分词 )
sinigrin|[生化]黑芥子硫苷酸钾
skiving|车修(电瓷坯), 切片, 刮, 削磨
senhorita|<葡>小姐
spoorer|跟踪者
slurried|(slurry 的过去分词) n. 泥浆；悬浮液
swifty|[美]极引人注意的
spindled|纺锤, 纱锭( spindle的过去式和过去分词 ); 轴
shimmying|摇动, 震颤, 晃动( shimmy的现在分词 )
subjected|使从属；受…影响；使遭受（subject的过去分词形式）
submerse|vi. (使)浸没, 淹没, 浸泡
synch|[计] 同步信号
stott|斯托得（姓氏）
shrubland|灌丛带
socialising|使社会化；使社会主义化
sextette|六重唱, 六重唱曲, 六重奏, 六重唱的演出小组, 曲棍球队
sylvatic|栖息于森林的
sepias|乌贼( sepia的名词复数 ); 乌贼属; 乌贼的墨; 颜料
sialic|[地](岩石)富硅铝的,硅铝质的, 硅铝带的
subjectivism|主观主义
sporoplasm|孢原质, 孢子原浆
sexily|<口>性感地
sanitarian|卫生的, 保健的
scariest|恐怖的
subcast|亚级
stimulative|刺激, 促进因素
shellfire|炮火
sorter|从事分类的人, 分拣的人
springboards|（有助于成功的）跳板( springboard的复数形式 ); （跳水、体操等体育运动中的）跳板, 踏板
synema|群丝体
seborrhoea|[医] 皮脂溢
situating|使位于, 使处于…地位（位置）( situate的现在分词 )
skated|溜冰, 滑冰( skate的过去式和过去分词 )
schismatize|从事分裂活动
stodgily|stodgy的变形
sphenotic|[动]蝶耳骨
scutiform|[生]盾状的
shipwrights|(shipwright 的复数) n. 造船木匠
surpassed|超过( surpass的过去式和过去分词 ); 优于; 多于; 非…所能办到
sporran|毛皮袋
shirtless|赤膊的；无上装的
spiflicate|痛打, 使混乱,使沮丧
schistocelia|腹裂畸形
spleenish|脾气坏的
simplicially|simplicial的变形
sapper|坑道工兵, 地雷工兵, 扫雷工兵, 挖掘器, 暗中破坏者
suturing|[医] 缝[合]
sunnier|阳光充足的( sunny的比较级 ); 阳光明媚的; 令人愉快的; 快活的
swaggerer|昂首阔步者, 狂妄自大者, 吹牛的家伙
saurian|蜥蜴的
surrenal|[医] 替代物, 替代品, 替代者, 替身(精神病学中名词)
suburbs|郊外（suburb的复数）
spaceless|无穷的, 不占地位的, 无限的
superhumanly|超人地
sphagnum|泥炭藓
sanguinolent|血的, 血染的
stabber|刺的东西, 锥子, 刺客, 穿索针
styphelia|[网络] 垂钉石南属
sixes|六( six的复数形式 ); （常指不愉快的事物）令某人大吃一惊; 死亡; 半斤八两
stupefied|使发呆, 使昏昏沉沉( stupefy的过去式和过去分词 ); 使惊讶; 木然
submatrices|(submatrix 的复数) [计] 子矩阵
scrimpiest|scrimpy（节俭的, 俭省的）的变形
sepulchers|坟墓, 墓穴( sepulcher的名词复数 )；圣物置放处
salvability|salvable的变形
stomatopathy|[医] 口病
styracin|安息香英, 苯丙烯酸苯丙烯酯
spuria|[复] n.伪造的作品
submorphous|[医] 亚晶形的
sparkers|(sparker 的复数)  火花捕捉器, 电火花器
squishes|压扁, 压烂, 咯吱吱地走( squish的第三人称单数 )
scourer|锅刷
sele|selection error 选择错误
shone|shine的过去式和过去分词
schlemiel|倒楣的人, 笨手笨脚的人
scalped|剥去…的头皮( scalp的过去式和过去分词 ); 转手倒卖以牟利
strepitant|嘈杂的,喧闹的
submariners|(submariner 的复数) n. 潜水艇乘员
spired|螺旋形的, 有塔尖的, 成锥形的
syndiotactic|[机] 异位的
starward|朝星星地[的]
sumatran|苏门答腊人, 苏门答腊之印尼语
statedly|庄重的
superoctave|双八度音栓
stalkers|网子的一种( stalker的复数形式 ); 高视阔步者; 暗恋者; 暗恋别人的人
sarcophagi|sarcophagus的复数
sinciput|前顶
stunningly|绝妙地; 极好地; 令人震惊地; 使人目瞪口呆地
scantling|小块木材, 少量
spooked|吓, 吓唬( spook的过去式和过去分词 )
sploshing|(突然)泼下的水；[俚语]钱
serendipity|偶然发现珍宝的运气/才能, 易遇奇缘的运气
sternutatory|(催)打喷嚏的
sabayon|意大利菜肴
scrawler|scrawl的变形
surrosion|腐蚀增重(作用)
sleights|(sleight 的复数) n. 技巧, 诡计, 熟练
specializer|[法] 专家, 专者
serpula|[动]龙介虫
subcallosal|[医] 胼胝体下的
shards|（玻璃、金属或其他硬物的）尖利的碎片( shard的复数形式 )
sinuitis|[医] 窦炎
suitor|起诉者, 请愿者, 求婚者
scarlatinoid|[医] 猩红热样的
slumberland|睡乡,梦乡
shoehorning|硬塞进( shoehorn的现在分词 )
sagvandite|菱镁古铜岩
stimulator|[医] 刺激质; 刺激器
squirrelly|古怪的, 毫无意义的, 发疯的
stargazing|凝视, 心不在焉, 空想
submetering|辅助计量
seaters|(seater 的复数) n.有...座位之交通工具
sooke|[地名] [加拿大] 苏克
salivous|唾液(组成)的
searchings|(searching 的复数) a. 搜索的, 遍寻的, 彻底的, 敏锐的
spirane|螺烷
spites|恶意( spite的名词复数 )
sleighed|乘雪橇( sleigh的过去式和过去分词 )
spherulitic|球粒状的
spica|穗状花序, 人字形绷带, 角宿一
subprefect|副行政长官, (法国大城市的)区长
stubbornest|stubborn（顽固的, 固执的）的最高级形式
stertor|鼾声
sauch|<主苏格兰> = sallow
stemson|船头护木
scleropages|[网络] 硬骨舌鱼属；金龙鱼；巩鱼属
stunk|stink的过去式和过去分词
submissively|顺从地, 服从地
suiting|西服料
secundipara|adl.二产的
smartless|无剧痛的
subvention|补助金, 津贴, 援助
scoliotone|脊柱侧凸矫正器
scarlatina|猩红热
suba|subtract address 减法地址
shabbiest|（指东西）因使用过久或照管不善而破旧的( shabby的最高级 ); 衣衫褴褛的; 卑鄙的; 下流的
sceloporus|[医]刺蜥属
sengi|[单复同]n.森吉(扎伊尔辅币名)
spitfires|喷火的东西；烈性子的人
sparmannia|[网络] 非洲灌木属
siliciferous|[化]含硅的, 含硅土的, 生硅 土的
sutra|箴言, 经典
