tree|树
tetragram|四个字母组成的词
tanghinia|[医]海芒果属
tabular|制成表的, 扁平的, 表格式的, 平坦的
theatergoing|看戏
termtime|学期, (苏格兰)(租金/利息的)法定支付期
thinkingness|thinking的变形
trawl|拖网
taverner|酒店主
tetchily|tetchy的变形
tritheistic|tritheism的变形
tiers|等级( tier的复数形式 ); 包扎的人; 一排高过前面一排的东西; 阶梯座位的一排
tenemental|住房的, 保有物的
tangency|(在一点上)接触, 相切
tunnellers|(tunneller 的复数) n. 挖掘隧道的人, 隧道掘进机
ticktick|重复的滴嗒声
tachyphagia|速食癖
toluide|[化]N-某酰基甲苯胺
tubful|一桶的容量
thunderheads|(thunderhead 的复数) n. 雷雨云砧
taps|(美军)熄灯号, 熄灯鼓
trevet|三脚铁架, 三脚火炉架
tiddly|很小的, 微不足道的
thule|极北之地, 神秘的远方
tical|泰国旧货币单位(现为baht铢)
troctolite|橄长岩
trichoptera|[医] 毛翅目
toxophily|射箭, 对射箭的爱好
torpedoman|鱼雷兵
tilapias|(tilapia 的复数) n.[鱼]罗非鱼
taxaceous|[植]紫杉科的
taluk|（一些南亚国家的）自治小区
tauromachy|斗牛, 斗牛戏
theoretician|理论家
titillate|呵...痒, 使觉得痒, 使兴奋, 使高兴, 使愉快
testamentum|[法] 遗嘱, 遗言
tocophobia|儿童恐怖
twosomes|两人一起, 一队, 两人玩的游戏( twosome的复数形式 )
teroxide|三氧化物
tellurous|[化](含)碲的, (含)亚碲的
topmast|中桅
toponymy|地名学, 地名, 部位命名法
toxicophobia|[医] 毒物恐怖
trumpeted|大声说出或宣告（trumpet的过去式与过去分词形式）
treading|踩, 踏( tread的现在分词 ); 踩成; 踏出; 步行于
toiletries|化妆用品, 梳妆用具, 化妆用具
thrives|兴盛, 兴隆( thrive的第三人称单数 ); 长得健壮
thimbled|(缝纫机用的)顶针，针箍；【机械工程】套筒，套管
townies|城市生活的( townie的复数形式 )
traced|描绘( trace的过去式和过去分词 ); 追溯; 发现; 跟踪
tipsters|提供（赛马等）内幕消息的人( tipster的复数形式 )
treacheries|背信弃义( treachery的复数形式 ); 欺诈; 背叛行为; 欺诈行为
tonalities|(tonality 的复数) n. 音调, 色调
trapping|[计] 设陷, 陷入, 俘获
trenchcoats|(trenchcoat 的复数)  逢凶化吉女福星; [电影]一炮两响
taeniola|胃隆线
tribrach|三短节音步
turtleneck|圆翻领, 高翻领毛衣
thiosinamine|[化]烯丙基硫脲
tectiform|两侧下斜的
terebrantia|锥尾部
torts|<律>民事侵权行为( tort的复数形式 )
teleostome|[鱼]硬骨鱼
tuberiferous|生瘤的, 生核的, 有节结的
taccaceae|[网络] 蒟蒻薯科；箭根薯科；蛛丝草科
telenomus|粪蝇
thrips|蓟马
tabescent|消耗性的, 摧毁性的, 疲劳的
tidiness|整齐, 整洁
thriftier|节俭的( thrifty的比较级 ); 节约的; 茁壮的; 茂盛的
tucket|<古>(尤指作为骑兵行进信号的)喇叭调
tampon|塞子, 棉塞, 止血棉塞
turneresque|adj. 类似(英国风景画家)透纳风格的
tannery|制革厂, 硝皮厂
thriftiest|节俭的( thrifty的最高级 ); 节约的; 茁壮的; 茂盛的
tad|(美)(非正式)男孩, 小孩子, 少量
tref|(按犹太教食规) 不洁净的, 不可食用的
tictac|滴答声, 跳动声
telewriter|[计] 电传打字机
tyranni|[网络] 霸鹟亚目；霸鶲亚目；篡夺者
thiopyran|[化] 噻喃
tabled|桌子；表格；平地层
trumperies|中看不中用的东西( trumpery的名词复数 )；徒有其表的东西；胡言乱语；废话
torose|(=torous)多瘤的, 膨涨的, 鼓起的
tornariae|柱头幼虫 (tornaria的变形)
thevetia|[网络] 黄花夹竹桃属；黄花夹竹桃之一种
trematode|吸虫
tetrasomic|[pl.]四体生物
tubbable|可放在桶里洗的, 可放入桶中的, 可沐浴的
tornaria|柱头幼虫
trochite|茎板
tensions|（情绪上的）紧张( tension的复数形式 ); 张力; 紧张的状态; （作家或电影导演制造的）紧张气氛
tranquilness|安静
thissen|[人名] 西森
thyrsoid|[植]聚伞圆锥花序状的
timocratical|timocracy的变形
trihydric|[化]三羟(基)的
tubular|管状的
trichechus|海牛
terphenyl|三联苯
transelement|改变...的成分
tholeiitic|【地质学】(含)拉斑玄武岩的
tailband|书脊底带,堵头布(指嵌在书脊底边的彩色布带)
topmaker|毛条商, 毛条厂
temporising|(temporise 的现在分词) vi. 顺应时势, 迎合潮流, (为争取时间)拖延, 应付, 妥协
tetradactyle|[医]四指（趾）的, 四指的; 四指畸形
thermometric|温度计的
torcher|以火炬照明者, 以火炬诱捕鱼者, 为石板屋顶塞灰泥的工人
testimonial|证明书, 介绍信, 奖品, 奖金, 奖状, 感谢信, 表扬信
translocated|改变…的位置( translocate的过去式和过去分词 )
titters|短促而神经质的笑( titter的名词复数 )
thruway|过境道路, 直达道路
telemetering|遥测, 遥测术, 沿无线电遥测线路传送信息
trilled|颤音的
thysanuran|[昆]n.缨尾目昆虫(如银汉鱼、 衣鱼等原始无翅昆虫)
tayassu|[网络] 西猯科；白唇西猯属；白唇西貒属
toddles|（幼儿等）东倒西歪地走( toddle的第三人称单数 ); 蹒跚行走; <口>溜达; 散步
todidae|[网络] 短尾鴗科；短鴗尾科
thermophore|载热固体, 流动床, 蓄热器
thickish|相当厚的, 相当浓的, 相当粗的, 相当密的
thamin|眉叉鹿
tautologous|赘述的；同义反复的（等于tautological）
trypsinogen|[生化]胰蛋白酶原
twas|第三世界科学院（The Third World Academy of Sciences）
toluic|[化]甲苯(甲)酸的
trichoid|毛状的,像毛的
twinight|<美>[棒](傍晚开始而)连续两场比赛的
thridace|[药]莴苣浓汁,莴苣膏(一种镇静剂)
tampin|管木楦
trellised|成格状的,有格子架支撑的
techiness|techy的变形
taiping|[史]太平天国农民革命参加者, 太平天国的, 太平军的
trussed|捆绑( truss的过去式和过去分词 )
thawed|（气候）解冻( thaw的过去式和过去分词 ); （态度、感情等）缓和; （冰、雪及冷冻食物）溶化; 软化
twoscore|& adj.四十(的), 四十个(的)
transformism|进化论
tailfan|(龙虾的)尾扇
tola|拖拉(印度重量单位)
theorising|建立理论
turnicidae|三趾鹑科
tiredest|疲劳的（tired的最高级）
tapetum|[动]毯(膜状层, 尤指照膜, 反光组织, 反光色素层)
taxiplane|出租飞机
truncate|切去头端, 缩短, 截棱, 使成平面
tracklayer|铺轨工人, 铺轨机, 履带式车辆, 履带式拖拉机
timon|愤世嫉俗的人
trichogen|生发药, 生毛药
tugging|[医] 牵引感
tracheid|[植]管胞
trenches|深沟, 地沟( trench的名词复数 ); 战壕
tailgates|（卡车等的）后挡板( tailgate的名词复数 )
tetragenous|四联的, 分裂为四的
thurm|刻横纹于木头上(使它具有轮转的感觉),岩岬, 岩角, 小断层
trike|三轮车
transnatural|超自然的
totoaba|犬鱼
takyr|龟裂土
thwarting|阻挠( thwart的现在分词 ); 使受挫折; 挫败; <旧>横过
teratogeny|畸形发生, 畸胎形成
teco|[计]= Text Editor and COrrector,文本编辑程序与校正程序
testificate|证件
tirage|香槟酒发酵
tassels|流苏（tassel的复数形式）
tramcars|(tramcar 的复数) n. 有轨电车, 矿车
tuppence|两便士, 两便士银币
tirailleur|[军]散兵, 狙击兵
tousles|使（尤指头发）蓬乱( tousle的第三人称单数 ); 粗鲁地处理
topocentric|以地面上的某点为中心(测定)的,地面点的
touchstones|试金石, （检验）标准( touchstone的复数形式 )
tunableness|可调
tweezered|(tweezer 的过去时) vt. 用镊子钳
tarweed|粘草, 麻迪菊
thacker|塞克（人名）
triploidite|磷锰铁矿
tubulation|装管; 管段; 制管; 列管
telecomputer|[计] 远程计算机
toluylene|甲代亚苯基
tetchiness|tetchy的变形
tawdry|廉价而俗丽的
treatiser|论文；论述；专著；[废语]故事；叙事
trephines|用环锯行手术( trephine的第三人称单数 )
taunting|嘲讽( taunt的现在分词 ); 嘲弄; 辱骂; 奚落
turjaite|云霞黄长岩
tither|[法] 付什一税者, 收什一税者, 提倡什一税者
thalidomide|萨力多胺
tragopan|角雉
towerlike|[医]塔样的
terre|Trans-Europe Railroad Express 横贯欧洲铁路特别快车
theorized|创建理论, 建立学说, 推理( theorize的过去式和过去分词 )
thermotactic|趋温的, 向热的
trebleness|treble的变形
tonelessly|声调平板地
tangier|丹吉尔 [摩洛哥北部港市]
trilobitic|trilobite的变形
tycoons|<日><史>大君( tycoon的复数形式 ); 将军; <口>企业巨头; 大亨
terras|[人名] 特拉斯
trave|天花板格；[建]横梁；木缚架
totaquine|[药]金鸡纳全碱, 全奎宁
trub|冷却残渣; 含煤页岩
tambourines|铃鼓, 手鼓( tambourine的复数形式 ); （鸣声似铃鼓的）白胸森鸠
thymectomy|[医]胸腺切除术
tarsus|踝, 踝骨, 睑板, 跗骨
twiny|twine的变形
tectorium|[医] 耳蜗覆膜, 柯替氏膜
tutting|发出嘘声( tut的现在分词 )
thuribles|(thurible 的复数) n. 香炉
taxa|taxon 的复数
tortuousness|曲折, 弯曲
trafficway|开放通行的道路, 公路
topsoiled|(topsoil 的过去分词) n. 上层土, 表层土
talus|距骨, 踝, 斜面
tantrums|突然发怒( tantrum的复数形式 )
tarbadillo|[西](=tarbardillo)鼠型斑疹伤寒
tranship|换船, 换车
terrifically|非常地, 极端地, 可怕地
tetterwort|血根树
tubba|[医] 掌跖雅司病
turneraceae|特纳草科
tantaliser|[网络] 诱人的
trangam|<古>小玩意儿,小摆设,小装饰品
teleport|(心灵学用语)心灵运输(物体、人)
tailwind|（从后面吹来的）顺风
tragi|tragus的复数
telecasters|(telecaster 的复数) n. 电视广播员
trothless|<古>不忠诚的,不忠实的, 背信弃义的
tenacula|（外科手术用的）持钩( tenaculum的名词复数 ); [医]n.（拉）持钩, 支持体
trolleite|羟磷铝石
trifurcation|三根分叉部
tachiste|[法语]塔希派画家, 滴色派画家
traumatized|使受精神创伤( traumatize的过去式和过去分词 ); 使受外伤
tormented|饱受折磨的
taintlessly|taintless的变形
trucking|货车运输业；货车运输；以货易货
tractors|拖拉机( tractor的复数形式 ); 牵引机; （牵引式挂车的）牵引车; 拖车头
terebenthene|松节油
threptic|[医] 营养的
twigs|细枝, 嫩枝( twig的名词复数 )
trimmed|切边；平衡的；纵倾的；修整过的
tarriness|涂柏油, 柏油(质)
tiering|分层布置; 堆叠
tubificid|[动]n.颤蚓,颤蚓科环节动物
toggled|(toggle 的过去分词) n. 绳针, 套索钉
topsail|上桅帆
teleplay|电视剧
turkeybush|少叶苏木
taskmasters|监工, 工头, 使人卖力工作的严厉的人( taskmaster的复数形式 )
tailory|裁缝业
trigamy|一夫三妻, 一妻三夫, 三重婚罪
taffetized|(织物)仿塔夫绸的
thyroiditis|甲状腺炎
trilocular|有三室的, 有三腔的, 有三房的
toxone|[医] 减力毒素
tiber|台伯河（意大利中部, 流经罗马）
thiostannite|硫代亚锡酸盐, 全硫亚锡酸盐
turnback|懦夫
thyroidean|甲状腺, 甲状软骨
tricked|哄骗, 欺骗( trick的过去式和过去分词 ); 打扮
tonograph|音调描记器
tuquoque|[拉](“你也一样”式的)反驳, (彼此彼此式的)应酬话
thelytocia|[医] 产雌单性生殖(只产生雌性后代的单性生殖)
tiptoeing|踮着脚走, 蹑手蹑脚地走( tiptoe的现在分词 ); 转弯抹角地谈论
trouvere|叙事诗人
tollway|<美>收费公路
telltales|搬弄是非者( telltale的复数形式 ); 指示器; <海>舵角指示器; 警告悬条标（铁路用标志, 表示前有旱桥等）
tillable|可耕种的, 可耕作的
tanged|强烈的味道或气味( tang的过去式和过去分词 )
teleprinter|电传打字电报机
tachygenesis|简捷发生(昆虫幼期的紧缩发生), 加速发生
teeniest|<口>极小的, 极微的( teeny的最高级 )
tupelos|多花紫树，蓝果树，紫树木材( tupelo的名词复数 )
txt|[计] 文本
teck|[美俚]=detective
torturing|拷问的；使受苦的；使痛苦的
testosterone|睾丸激素
taxis|[医]整腹法；[动]反射运动；分类法；（古希腊军队的）分队；[语]排列
taskmaster|工头
thrones|宝座（ throne的名词复数 ）; 御座; 王位; 帝位
temporality|暂时性, 暂存事物, 俗人
trioxide|三氧化物
telodendrion|[解]终树突
tailpin|撑脚
tenderers|(tenderer 的复数) n. 提出者, 投标者
trinucleus|三核属
tents|旅游帐篷；住所；塞条（tent的复数）
tautomeric|[医] 互变异构的
tuberculoma|[医](尤指脑内的)结核瘤
troching|【药物】锭剂, 糖锭剂, 片剂
thelyotoky|产雌单性生殖
tostado|[地名] [阿根廷] 托斯塔多
tuffaceous|凝灰质的, 凝灰岩的
triploids|(triploid 的复数) a. 三倍性的, 三倍体的
talipedic|[医] 畸形足的
tamarau|[动](菲律宾产的)黑牛
terrazzo|磨石子地
torrentially|急流地;勐烈地
teemless|贫瘠的
thrivingly|thriving的变形
tensors|[数] 张量；[解剖] 张肌
tracers|(tracer 的复数) n. 追踪者, 描图者, 描绘工具
tantum|[医]Benzydamine
trilobita|三叶虫类
toweling|毛巾料
thoughtway|思想方法
triacid|三(酸)价的
tweediness|粗花呢的品质
thermoduric|[微]耐热的
treasuring|重视( treasure的现在分词 ); 珍惜; 珍视; 珍爱
titivates|<口>打扮（titivate的第三人称单数形式）
tonsillolith|[医] 扁桃体石
transiting|通过（transit的现在分词形式）
theridiid|球腹蛛
tyrannised|(tyrannise 的过去分词) vi.vt. 施暴政, 实行极权统治, 横行霸道
tajik|塔吉克人[族]
typhoeus|百头怪物
teething|出牙, 出牙现象
transfuse|输血, 充满
tylostyle|圆[钝]头针
trichinella|[动]旋毛虫,旋毛形线虫(一种肠寄生虫)
tallyho|int. 呔嗬!
throttling|[化] 节气; 节流
tiff|一口淡酒, 小争吵, 小口角, 淡酒
twinkler|发光体
transposer|换位器
tigereye|虎眼石
thioaldehyde|[化]硫醛, 乙硫醛
tenantable|可租赁的
trollop|堕落的女人, 妓女
tambour|鼓, 绷圈
thuggery|谋财害命
tropisms|(tropism 的复数) n. 向性, 取向, 定向
thereagainst|<古>与之相反,反之
toise|[测]突阿斯(长度单位,约等于1.95米或6.4英尺, 应用于早期大地测量中)
takers|接受者；购买者（taker的复数）
transferer|转让人，让与人
tangentially|无关地
tasian|[考古]塔萨文化的(新石器时代晚期的一种最早的定居农耕文化)
tripetaloid|三花瓣形的
telegony|先父遗传
theave|幼母羊
trilemma|三难困难,三难选择的窘境,[逻]三难推理
taipan|[中]大班(旧中国洋行老板),澳大利亚北部产的一种毒蛇
tumefying|（使）肿胀, （使）肿大( tumefy的现在分词 )
tawse|皮鞭的一种
teaser|戏弄者, 起绒机
taborin|(用单根鼓棒敲奏的) 狭长小鼓
trajectory|轨道, 弹道, 轨线
toral|[植]花托的
taunted|嘲讽( taunt的过去式和过去分词 ); 嘲弄; 辱骂; 奚落
thaddeus|撒迪厄斯(男子名)
tiro|初学者, 生手
timeshare|分时享用度假别墅的
tsimmes|骚动,混乱
thuggee|杀人越货行为, 谋财害命
talaria|[希神][罗神](众神的信使Mercury或Hemes穿的)有翼凉鞋,(长在脚踝上的)脚翼
transfixes|刺穿( transfix的第三人称单数 ); 钉住; 使惊恐; 使惊呆
twibilled|[英国方言]鹤嘴锄；镰刀；[古语]双刃战斧[亦作 twibil]
torulosis|(=cryptococcosis)隐球菌病
thromboid|似血栓
traitorously|叛逆地, 不忠地
tarpaper|(用作防水材料的)防潮焦油纸, 沥青纸
tetrahydrate|[化]四水合物
trimmer|整理者, 装饰者, 修剪者
throttle|节流阀, 节气阀, 喉咙
tawniness|黄褐色；茶色 (tawny的变形)
triradial|三相辐射的
thiophene|[化]噻吩
tediousness|沉闷；乏味
tartness|酸, 尖刻
tattered|破烂的, 褴褛的
taenia|装饰头带, 带
tuneless|不和谐的, 不成调子的
tegula|[建]具有装饰性外形的瓦
tiled|用砖瓦覆盖的, 瓦状叠覆的
toom|空的
toxiphobia|[心]毒物恐怖
tubbiness|桶状, 粗短, 钝音
treadling|(treadle 的现在分词) n. 踏木, 踏板
thuringian|图林根的,图林根人的,图林根文化的
thiostannate|硫代锡酸盐, 全硫锡酸盐
trucker|卡车驾驶员, 从事货车运输业者, 以物易物者, 小贩
transferor|让与人
twee|矫饰的, 过分艳丽的
tarbrush|焦油毛刷
teer|[人名] 蒂尔
toxophorous|[医] 毒簇的, 带毒素的
thwartly|thwart的变形
toasty|温暖舒适的
twirling|使快速转动（twirl的ing形式）
tunned|（装啤酒、葡萄酒等的）大酒桶( tun的过去式和过去分词 )
tornadic|龙卷风(似)的,旋风(似)的
traipsing|漫步( traipse的现在分词 ); 拖曳; 在…游荡; 走过
transfusible|可倾注的, 可输血的, 充满的
telotrocha|端纤毛轮幼虫
tractoration|[医] 金属牵引器疗法
thed|[医][=tetrahydroxy ethylene diamine]四羟基亚乙基二胺
tweeted|小鸟叫声；自录音再现装置发出的高音
thyroprivic|[医] 甲状腺缺乏的, 甲状腺切除后的
toylike|toy的变形
tabard|纹章战袍, 传令官制服, 粗布外衣
tempe|潭蓓谷(古希腊提萨里 Thessaly 地方的溪谷)
titillating|使人痒痒的； 使人激动的, 令人兴奋的
takilman|[网络] Tak il
totient|欧拉φ函数
tenderfeet|tenderfoot的复数形式
tallyman|以分期方式售货的商人, 装卸货计数人
tempering|[医] 回火, 淬硬
topos|(文学创作的)传统主题,(修辞学上的)惯用语句
tautologist|使用同义反复的人
thermomotor|热发动机
tai|泰国国际航空公司（Thai Airways International）
testaceology|贝类学, 介类学
testcross|测交(一种使杂种子一代与隐性类型交配以测定杂种子一代遗传型的方法)
trapt|<古>trap的过去式和过去分词
trite|老一套的, 陈腐的, 用坏的
tripwire|绊网
toadflax|柳穿鱼
tritopine|[建] 降甲劳丹碱
teak|柚木
tob|tender option bond 投标权力保证金; tobacco 烟草
troublous|暴风雨般的, 棘手的, 动荡不安的
trimming|整理, 修剪, 装饰, 点缀物, 装饰物, 修剪下来的东西, 诈骗, 击败, 殴打
toughish|有点儿强硬的, 有点儿粗暴的
tysonite|氟铈矿
trundlers|(trundler 的复数) n. 滚动；小脚轮 (trundle的变形)
tattiest|不整洁的
talky|对话过多的
typotheria|型兽亚目
tachypnea|呼吸急促
trib|tribal 部落的; tribalism 部落制; tribalist 部落主义; tribology 摩擦学
turbid|浑浊的, 污浊的, 混乱的, 雾重的
trigeminus|[解]三叉神经
triangulates|把...分成三角形, 作三角测量, 使...成三角形
thir|& adj.<苏格兰>= these
themed|有特定主题的
tearless|无泪的, 不流泪的
thrums|织边( thrum的名词复数 ); 织余; 线头; 纱头
telotaxis|[生]趋激性,趋触性
tsarina|沙皇皇后, 女沙皇
tannest|tan（黄褐色的, 棕黄色的）的最高级形式
turnbuckle|松紧螺旋扣
tasting|品尝, 尝味
triunitarian|(基督教) 三位一体的, 三位一体说的, 信仰三位一体的
torricellian|experiment[物](导致发现水银气压计制造原理的)托里切利实验
tournure|腰垫, 姿态
telethons|(telethon 的复数) n. 长时间电视广播节目
tracheotomy|气管切开术
torching|烧去漆; 喷灰泥
trochanteric|[医] 转子的
tuitions|学费( tuition的名词复数 ); 课程讲授
tryptone|胰化(蛋白)胨
twining|缠绕的
trichoderma|[医] 木霉属
tesseract|[数]立方体的四维模拟, 超正方体
tremogram|震颤描记图
tatamis|<日>榻榻米（日本人铺在室内地板上的稻草垫）( tatami的名词复数 )
truncal|树干的, 躯干的
terminism|唯名论, 悔过期限说
toused|使蓬乱
tourbillon|旋风, 旋风涡
touchline|边线
tendovaginal|[医] 腱鞘的
tooted|短鸣, 嘟嘟声( toot的过去式和过去分词 )
tradesmen|商人
terrapins|（北美的）淡水龟( terrapin的复数形式 )
tsk|int. [表示不赞成、同情、不耐烦等]啧啧
tutoyer|亲密地向…说话,亲密地对待
toughness|有粘性, 强硬, 强健
tufthunter|势利小人
tetramerism|四数性
terriers|小猎狗( terrier的复数形式 )
thrombi|血栓
tabbinet|[纺]波纹塔夫绸, 府纺
trophesy|[医] 神经性营养不良
tenderize|使嫩化
tasselled|饰有穗（或缨、流苏）的
tortellini|[复]n.(意大利式)饺子
translucidus|透光云
taxeme|语法特点
tuborrhea|[医] 咽鼓管溢
townish|城镇特有的, 城镇的
toadyish|谗媚的, 拍马溜须的
tootles|轻吹, 胡说八道, 嘟嘟地发出( tootle的第三人称单数 )
tetraxile|有四个轴的
tarantelle|[网络] 塔兰泰拉舞曲；塔朗泰拉舞曲；塔兰塔拉舞曲
trivializing|<贬>使显得琐碎[不重要、不难等], 轻视( trivialize的现在分词 )
triskelia|三腿形饰
tuneable|可协调的, 能调出和声的,谱好曲的
teleologist|目的论者
teng|（汉语）滕；邓（中文姓氏）
tacca|[网络] 蒟蒻薯属；箭根薯属；收起回复
thoro|完全的, 彻底的
tottered|走得或动得不稳( totter的过去式和过去分词 ); 踉跄; 蹒跚; 摇摇欲坠
teacherless|[计] 无教师的
tenanted|承租人；房客；佃户；居住者
tropicalian|海洋热带生物地理界的
teratogenic|畸形发生的
tanglement|纠结,混乱
tripled|（使）增至三倍( triple的过去式和过去分词 )
tammy|一种便帽（等于tam-o'-shanter）；棉经毛纬平纹呢（等于tammie）；滤汁布
touchiest|易动气的( touchy的最高级 ); 小心眼的; 需要小心对待的; 棘手的
topazolite|[矿]黄榴石
tartare|鞑靼的
traversed|横越, 穿越, 横贯( traverse的过去式和过去分词 ); （爬山时）作Z形攀登
toilworn|工作疲劳的, 憔悴的
totalling|总计；共计
tagraggery|杂乱的一群
triptane|[化]三甲基丁烷(一种高抗爆的发动机燃料)
triskele|(从中心点辐射的) 三曲枝图, 三曲腿图三曲臂图
twa|环球航空公司(美国)
truxilline|[化] 吐昔灵
triole|[音]三连音符
topognosis|[医] 位置觉
treacherous|不可信任的, 危险的, 背叛的, 不可靠的
tatoo|[医]纹身
thrilled|非常兴奋的; 极为激动的
trichotomous|[医] 三分的, 分三部的
toxotidae|射水鱼科
thumper|用力打的人, 捶击者, 庞然大物
tremolant|震音的
twit|责难, 愚弄, 嘲笑
trunkmaker|制皮箱的人
torsibility|可扭性,耐扭力, 抗扭力
tomboys|（喜欢玩闹的）女孩, 假小子, 男孩似的顽皮姑娘( tomboy的复数形式 )
thrustle|[人名] 思拉斯尔
tenures|(tenure 的复数) n. 享有, 保有期
trimera|三跗类
titivate|打扮, 装饰, 化妆
tarted|将某人打扮得妖艳, 将某物装饰得俗气（tart的过去式与过去分词形式）
tortuose|扭曲的, 弯曲的
telial|冬孢子堆的
tranships|换船, 换车( tranship的第三人称单数 )
tokyoite|东京市民
turtlehead|(产于美洲的)山玄参属的草本植物
tykes|小孩( tyke的复数形式 ); <英方>野狗; 乡下佬; 粗鲁的家伙
tallate|[化] 脂肪酸盐; 脂肪酸酯
timberyard|贮木场
tln|Toulon/Hyeres; France 法国; 土伦/耶荷机场（代码）; trunk line network 中继线网络
taphephobia|[医]活埋恐怖(症)
tombstone|墓石, 墓碑
thixotropic|[化]触变的,具有触变作用的, 摇溶的
totalities|(totality 的复数) n. 全体, 总数, 全食
tetrao|[网络] 松鸡属；琴鸡属
tweezer|用镊子钳
tensor|张肌, 张量
thornbill|[鸟](南美)刺嘴蜂鸟
thornlike|像刺一样的
toolshed|(园艺工具等的)工具房,工具室
toenailed|脚趾甲, 斜钉
tobogganed|平底雪橇
toilers|(toiler 的复数) n. 辛苦工作的人, 劳动者
troilism|(二女一男或二男一女同时进行的)三人间性行为
transitron|[电] 过渡管
twitchel|[英方]树篱间小道
trailblaze|开路, 修路
telecamera|电视摄影机
teenie|蒂妮（女子名）
tribunitian|(古罗马)保民官的,保民官职位的,像保民官的
turgescence|肿, 肿胀, 浮夸
tidings|消息
telemetric|遥测的
tasmanian|塔斯马尼亚的
tritiate|[化]使与氚混合,用氚浸渍,给…涂氚, 使氚化
tramping|[机] 踩紧
tanned|[医]鞣酸处理的
tarrying|逗留( tarry的现在分词 ); 停留; 暂住; 徘徊
tetramorphic|四形的
terminably|terminable的变形
trihybrid|[生]三对基因杂种,三对性杂种
thrombocytic|[医]血小板的
tricar|三轮汽车
tss|[计] 任务选择串, 分时服务
trammel|鱼网, 拘束, 束缚
trecentist|十四世纪意大利文学家、美术家
temblors|<美>地震( temblor的名词复数 )
tinter|着色者, 染色者
toolhead|[机]刀架,刀夹
tendriled|【植物学】卷须；卷须状物
taurean|出生于金牛座时段(约自4月20日至5月20日)的人
tapper|轻敲者, 电报键
tuberin|马铃薯球蛋白
tabacco|(Tabacco)人名；(意)塔巴科
trismic|牙关紧闭的
tarente|(=tarentola)塔兰托壁虎
tapetis|南美林兔(Sylivilagu sbrazilienusis)[亦作 tapiti]
tingidae|网蝽科
trt|heat treated 热处理的
titanosaurus|【古生物】(南美白垩纪的)雷龙
tannigen|乙酰鞣酸
toplofty|高傲的, 瞧不起人的
triticale|(蛋白质丰富且高产的)小麦与黑麦的杂交麦,黑小麦
trumpetweed|[植]泽兰(尤指贯叶泽兰,斑茎泽兰、 粉绿茎泽兰等)
tarting|将某人打扮得妖艳, 将某物装饰得俗气（tart的现在分词形式）
transiency|短暂, 稍纵即逝, 无常
tritest|(trite 的最高级) a. 老一套的, 陈腐的, 用坏的
thrombocyte|血小板, 凝血细胞
torrefaction|烘焙
tangi|狭窄的峡谷
teleoptile|成禽, 成羽
turbulator|[计] 湍流器
tessellated|棋盘格形的, 镶嵌成棋盘花纹的
tabouret|小凳子, 绣框
tropal|衬里织物
tippytoe|, vi., a & adv.<口> = tiptoe
tailgated|（卡车等的）后挡板( tailgate的过去式和过去分词 )
themis|西弥斯(正义女神)
trichinosed|[医]患旋毛虫病的,受旋毛虫侵扰的
tidytips|[复] n.[用作单或复][植](产于美国加利福尼亚州的) 宽舌莱氏菊
triblet|心轴
tonk|强打, 轻易获胜
turnstone|翻石鹬
teleman|<美>(海军)通信译电军士
tartish|稍酸的, 稍辛辣的
ticker|滴答响的东西, 断续器
taboret|小凳子, 绣框
trailerist|拖带挂车的汽车驾驶员
tuber|块茎, 突起, 结节
thymy|麝香草的, 像麝香草的
tritaph|墓内有三个小墓室的墓葬
turbellarian|& adj.[动]涡虫(的)
trochid|马蹄螺
televising|由电视播送( televise的现在分词 ); 电视拍摄
thoracostomy|[医]胸廓造口术
tardily|缓慢地, 迟, 迟延地
teratologic|[医] 畸形学的
tryouts|试验( tryout的复数形式 ); 试用; 选拔赛; 试演
tepid|微温的, 温热的, 不太热烈的
tinea|癣
tridynamous|三强雄蕊的
totalises|(totalise 的第三人称 -s形式) vt. 计算...的总数
terebinthine|松节油的, 松节油的
thionic|[化]硫的, 含硫的, 从硫衍生的
thingamajig|装置, 小机件, 某人, 某物件, 某东西
tineoidea|[网络] 谷蛾总科；榖蛾总科；谷蛾上科
tolan|[化]二苯乙炔
trophosphere|营养圈
theatral|剧院的；戏剧(性)的；演戏似的, 做作的
thirsted|（口）渴( thirst的过去式和过去分词 ); 渴感; 长期的干渴; 渴望
tovar|[人名] 托瓦; [地名] [委内瑞拉] 托瓦尔
tumulus|冢, 坟墓, 古墓
thoracica|围胸目
thermosiphon|温差环流系统, 热虹吸管
tonically|使精神振作地
tychite|杂芒硝
turnaround|转向, 回车道, 转变
toxalbumic|[医] 毒白蛋白的
tuboid|似管的,管状的
telephonists|接线生, 话务员( telephonist的复数形式 )
toboggan|平底雪橇
thunderbolts|雷电( thunderbolt的复数形式 ); 意外的事情; 恐吓; 大发雷霆
trochozoon|担轮动物
testicle|睾丸
tincting|色彩；颜色
tsi|每平方英寸吨数（tons per square inch）；实际空速指示器（True Air speed Indicator）
trone|<苏格兰>(称大批商品用的)大型衡器
tahua|[地名] [玻利维亚] 塔瓦
terrorise|使恐怖, 恐吓, 威胁, 胁迫
transports|运输工具；传输协议（transport的复数形式）
tuples|(tuple 的复数) n. 元组, 重数
tama|[医] 腿足肿胀
teacherly|如师的; 为师的
tantalic|[化]含钽的, 正钽的, 五价钽的
toponymic|地名的; 地名研究的,地名学的
